Faulty Code:
com.google.gson.FieldNamingPolicy:31 `public enum FieldNamingPolicy implements FieldNamingStrategy {`
com.google.gson.FieldNamingPolicy:37 `  IDENTITY() {`
com.google.gson.Gson:228 `    factories.add(TypeAdapters.newFactory(float.class, Float.class,`
com.google.gson.Gson:230 `    factories.add(TypeAdapters.NUMBER_FACTORY);`
com.google.gson.Gson:231 `    factories.add(TypeAdapters.ATOMIC_INTEGER_FACTORY);`
com.google.gson.Gson:232 `    factories.add(TypeAdapters.ATOMIC_BOOLEAN_FACTORY);`
com.google.gson.Gson:233 `    factories.add(TypeAdapters.newFactory(AtomicLong.class, atomicLongAdapter(longAdapter)));`
com.google.gson.Gson:234 `    factories.add(TypeAdapters.newFactory(AtomicLongArray.class, atomicLongArrayAdapter(longAdapter)));`
com.google.gson.Gson:235 `    factories.add(TypeAdapters.ATOMIC_INTEGER_ARRAY_FACTORY);`
com.google.gson.Gson:236 `    factories.add(TypeAdapters.CHARACTER_FACTORY);`
com.google.gson.Gson:237 `    factories.add(TypeAdapters.STRING_BUILDER_FACTORY);`
com.google.gson.Gson:238 `    factories.add(TypeAdapters.STRING_BUFFER_FACTORY);`
com.google.gson.Gson:239 `    factories.add(TypeAdapters.newFactory(BigDecimal.class, TypeAdapters.BIG_DECIMAL));`
com.google.gson.Gson:240 `    factories.add(TypeAdapters.newFactory(BigInteger.class, TypeAdapters.BIG_INTEGER));`
com.google.gson.Gson:241 `    factories.add(TypeAdapters.URL_FACTORY);`
com.google.gson.Gson:242 `    factories.add(TypeAdapters.URI_FACTORY);`
com.google.gson.Gson:243 `    factories.add(TypeAdapters.UUID_FACTORY);`
com.google.gson.Gson:244 `    factories.add(TypeAdapters.CURRENCY_FACTORY);`
com.google.gson.Gson:245 `    factories.add(TypeAdapters.LOCALE_FACTORY);`
com.google.gson.Gson:246 `    factories.add(TypeAdapters.INET_ADDRESS_FACTORY);`
com.google.gson.Gson:247 `    factories.add(TypeAdapters.BIT_SET_FACTORY);`
com.google.gson.Gson:248 `    factories.add(DateTypeAdapter.FACTORY);`
com.google.gson.Gson:249 `    factories.add(TypeAdapters.CALENDAR_FACTORY);`
com.google.gson.Gson:250 `    factories.add(TimeTypeAdapter.FACTORY);`
com.google.gson.Gson:251 `    factories.add(SqlDateTypeAdapter.FACTORY);`
com.google.gson.Gson:252 `    factories.add(TypeAdapters.TIMESTAMP_FACTORY);`
com.google.gson.Gson:253 `    factories.add(ArrayTypeAdapter.FACTORY);`
com.google.gson.Gson:254 `    factories.add(TypeAdapters.CLASS_FACTORY);`
com.google.gson.Gson:257 `    factories.add(new CollectionTypeAdapterFactory(constructorConstructor));`
com.google.gson.Gson:258 `    factories.add(new MapTypeAdapterFactory(constructorConstructor, complexMapKeySerialization));`
com.google.gson.Gson:259 `    factories.add(new JsonAdapterAnnotationTypeAdapterFactory(constructorConstructor));`
com.google.gson.Gson:260 `    factories.add(TypeAdapters.ENUM_FACTORY);`
com.google.gson.Gson:261 `    factories.add(new ReflectiveTypeAdapterFactory(`
com.google.gson.Gson:264 `    this.factories = Collections.unmodifiableList(factories);`
com.google.gson.Gson:265 `  }`
com.google.gson.Gson:268 `    if (serializeSpecialFloatingPointValues) {`
com.google.gson.Gson:271 `    return new TypeAdapter<Number>() {`
com.google.gson.Gson:292 `    if (serializeSpecialFloatingPointValues) {`
com.google.gson.Gson:295 `    return new TypeAdapter<Number>() {`
com.google.gson.Gson:324 `    if (longSerializationPolicy == LongSerializationPolicy.DEFAULT) {`
com.google.gson.Gson:325 `      return TypeAdapters.LONG;`
com.google.gson.Gson:346 `    return new TypeAdapter<AtomicLong>() {`
com.google.gson.Gson:358 `    return new TypeAdapter<AtomicLongArray>() {`
com.google.gson.Gson:392 `    TypeAdapter<?> cached = typeTokenCache.get(type);`
com.google.gson.Gson:393 `    if (cached != null) {`
com.google.gson.Gson:397 `    Map<TypeToken<?>, FutureTypeAdapter<?>> threadCalls = calls.get();`
com.google.gson.Gson:398 `    boolean requiresThreadLocalCleanup = false;`
com.google.gson.Gson:399 `    if (threadCalls == null) {`
com.google.gson.Gson:400 `      threadCalls = new HashMap<TypeToken<?>, FutureTypeAdapter<?>>();`
com.google.gson.Gson:401 `      calls.set(threadCalls);`
com.google.gson.Gson:402 `      requiresThreadLocalCleanup = true;`
com.google.gson.Gson:406 `    FutureTypeAdapter<T> ongoingCall = (FutureTypeAdapter<T>) threadCalls.get(type);`
com.google.gson.Gson:407 `    if (ongoingCall != null) {`
com.google.gson.Gson:412 `      FutureTypeAdapter<T> call = new FutureTypeAdapter<T>();`
com.google.gson.Gson:413 `      threadCalls.put(type, call);`
com.google.gson.Gson:415 `      for (TypeAdapterFactory factory : factories) {`
com.google.gson.Gson:416 `        TypeAdapter<T> candidate = factory.create(this, type);`
com.google.gson.Gson:417 `        if (candidate != null) {`
com.google.gson.Gson:422 `      }`
com.google.gson.Gson:425 `      threadCalls.remove(type);`
com.google.gson.Gson:427 `      if (requiresThreadLocalCleanup) {`
com.google.gson.Gson:428 `        calls.remove();`
com.google.gson.Gson:484 `    boolean skipPastFound = false;`
com.google.gson.Gson:488 `    if (!factories.contains(skipPast)) skipPastFound = true;`
com.google.gson.Gson:490 `    for (TypeAdapterFactory factory : factories) {`
com.google.gson.Gson:491 `      if (!skipPastFound) {`
com.google.gson.Gson:498 `      TypeAdapter<T> candidate = factory.create(this, type);`
com.google.gson.Gson:499 `      if (candidate != null) {`
com.google.gson.Gson:502 `    }`
com.google.gson.Gson:575 `    return toJson(src, src.getClass());`
com.google.gson.Gson:594 `    StringWriter writer = new StringWriter();`
com.google.gson.Gson:595 `    toJson(src, typeOfSrc, writer);`
com.google.gson.Gson:639 `      JsonWriter jsonWriter = newJsonWriter(Streams.writerForAppendable(writer));`
com.google.gson.Gson:640 `      toJson(src, typeOfSrc, jsonWriter);`
com.google.gson.Gson:653 `    TypeAdapter<?> adapter = getAdapter(TypeToken.get(typeOfSrc));`
com.google.gson.Gson:705 `    if (generateNonExecutableJson) {`
com.google.gson.Gson:708 `    JsonWriter jsonWriter = new JsonWriter(writer);`
com.google.gson.Gson:709 `    if (prettyPrinting) {`
com.google.gson.Gson:712 `    jsonWriter.setSerializeNulls(serializeNulls);`
com.google.gson.Gson:713 `    return jsonWriter;`
com.google.gson.Gson:720 `    JsonReader jsonReader = new JsonReader(reader);`
com.google.gson.Gson:721 `    jsonReader.setLenient(lenient);`
com.google.gson.Gson:722 `    return jsonReader;`
com.google.gson.Gson:765 `    Object object = fromJson(json, (Type) classOfT);`
com.google.gson.Gson:789 `    if (json == null) {`
com.google.gson.Gson:792 `    StringReader reader = new StringReader(json);`
com.google.gson.Gson:793 `    T target = (T) fromJson(reader, typeOfT);`
com.google.gson.Gson:843 `    JsonReader jsonReader = newJsonReader(json);`
com.google.gson.Gson:844 `    T object = (T) fromJson(jsonReader, typeOfT);`
com.google.gson.Gson:871 `    boolean isEmpty = true;`
com.google.gson.Gson:872 `    boolean oldLenient = reader.isLenient();`
com.google.gson.Gson:873 `    reader.setLenient(true);`
com.google.gson.Gson:875 `      reader.peek();`
com.google.gson.Gson:876 `      isEmpty = false;`
com.google.gson.Gson:877 `      TypeToken<T> typeToken = (TypeToken<T>) TypeToken.get(typeOfT);`
com.google.gson.Gson:878 `      TypeAdapter<T> typeAdapter = getAdapter(typeToken);`
com.google.gson.Gson:896 `      reader.setLenient(oldLenient);`
com.google.gson.Gson:947 `  static class FutureTypeAdapter<T> extends TypeAdapter<T> {`
com.google.gson.LongSerializationPolicy:27 `public enum LongSerializationPolicy {`
com.google.gson.LongSerializationPolicy:34 `  DEFAULT() {`
com.google.gson.LongSerializationPolicy:45 `  STRING() {`
com.google.gson.TypeAdapter:119 `public abstract class TypeAdapter<T> {`
com.google.gson.TypeAdapter:186 `    return new TypeAdapter<T>() {`
com.google.gson.internal.ConstructorConstructor:51 `  public ConstructorConstructor(Map<Type, InstanceCreator<?>> instanceCreators) {`
com.google.gson.internal.ConstructorConstructor:52 `    this.instanceCreators = instanceCreators;`
com.google.gson.internal.ConstructorConstructor:53 `  }`
com.google.gson.internal.ConstructorConstructor:56 `    final Type type = typeToken.getType();`
com.google.gson.internal.ConstructorConstructor:57 `    final Class<? super T> rawType = typeToken.getRawType();`
com.google.gson.internal.ConstructorConstructor:62 `    final InstanceCreator<T> typeCreator = (InstanceCreator<T>) instanceCreators.get(type);`
com.google.gson.internal.ConstructorConstructor:63 `    if (typeCreator != null) {`
com.google.gson.internal.ConstructorConstructor:73 `    final InstanceCreator<T> rawTypeCreator =`
com.google.gson.internal.ConstructorConstructor:75 `    if (rawTypeCreator != null) {`
com.google.gson.internal.ConstructorConstructor:83 `    ObjectConstructor<T> defaultConstructor = newDefaultConstructor(rawType);`
com.google.gson.internal.ConstructorConstructor:84 `    if (defaultConstructor != null) {`
com.google.gson.internal.ConstructorConstructor:85 `      return defaultConstructor;`
com.google.gson.internal.ConstructorConstructor:99 `      final Constructor<? super T> constructor = rawType.getDeclaredConstructor();`
com.google.gson.internal.ConstructorConstructor:100 `      if (!constructor.isAccessible()) {`
com.google.gson.internal.ConstructorConstructor:101 `        constructor.setAccessible(true);`
com.google.gson.internal.ConstructorConstructor:103 `      return new ObjectConstructor<T>() {`
com.google.gson.internal.ConstructorConstructor:107 `            Object[] args = null;`
com.google.gson.internal.ConstructorConstructor:108 `            return (T) constructor.newInstance(args);`
com.google.gson.internal.Excluder:50 `public final class Excluder implements TypeAdapterFactory, Cloneable {`
com.google.gson.internal.Excluder:52 `  public static final Excluder DEFAULT = new Excluder();`
com.google.gson.internal.Excluder:54 `  private double version = IGNORE_VERSIONS;`
com.google.gson.internal.Excluder:55 `  private int modifiers = Modifier.TRANSIENT | Modifier.STATIC;`
com.google.gson.internal.Excluder:56 `  private boolean serializeInnerClasses = true;`
com.google.gson.internal.Excluder:58 `  private List<ExclusionStrategy> serializationStrategies = Collections.emptyList();`
com.google.gson.internal.Excluder:59 `  private List<ExclusionStrategy> deserializationStrategies = Collections.emptyList();`
com.google.gson.internal.Excluder:112 `    Class<?> rawType = type.getRawType();`
com.google.gson.internal.Excluder:113 `    final boolean skipSerialize = excludeClass(rawType, true);`
com.google.gson.internal.Excluder:114 `    final boolean skipDeserialize = excludeClass(rawType, false);`
com.google.gson.internal.Excluder:116 `    if (!skipSerialize && !skipDeserialize) {`
com.google.gson.internal.Excluder:117 `      return null;`
com.google.gson.internal.Excluder:192 `    if (version != Excluder.IGNORE_VERSIONS`
com.google.gson.internal.Excluder:197 `    if (!serializeInnerClasses && isInnerClass(clazz)) {`
com.google.gson.internal.Excluder:201 `    if (isAnonymousOrLocal(clazz)) {`
com.google.gson.internal.Excluder:205 `    List<ExclusionStrategy> list = serialize ? serializationStrategies : deserializationStrategies;`
com.google.gson.internal.Excluder:206 `    for (ExclusionStrategy exclusionStrategy : list) {`
com.google.gson.internal.Excluder:212 `    return false;`
com.google.gson.internal.Excluder:216 `    return !Enum.class.isAssignableFrom(clazz)`
com.google.gson.internal.JsonReaderInternalAccess:25 `public abstract class JsonReaderInternalAccess {`
com.google.gson.internal.Streams:77 `    return appendable instanceof Writer ? (Writer) appendable : new AppendableWriter(appendable);`
com.google.gson.internal.bind.ArrayTypeAdapter:39 `  public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.ArrayTypeAdapter:42 `      Type type = typeToken.getType();`
com.google.gson.internal.bind.ArrayTypeAdapter:43 `      if (!(type instanceof GenericArrayType || type instanceof Class && ((Class<?>) type).isArray())) {`
com.google.gson.internal.bind.ArrayTypeAdapter:44 `        return null;`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:39 `  public CollectionTypeAdapterFactory(ConstructorConstructor constructorConstructor) {`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:40 `    this.constructorConstructor = constructorConstructor;`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:41 `  }`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:45 `    Type type = typeToken.getType();`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:47 `    Class<? super T> rawType = typeToken.getRawType();`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:48 `    if (!Collection.class.isAssignableFrom(rawType)) {`
com.google.gson.internal.bind.CollectionTypeAdapterFactory:49 `      return null;`
com.google.gson.internal.bind.DateTypeAdapter:42 `  public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.DateTypeAdapter:45 `      return typeToken.getRawType() == Date.class ? (TypeAdapter<T>) new DateTypeAdapter() : null;`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:36 `  public JsonAdapterAnnotationTypeAdapterFactory(ConstructorConstructor constructorConstructor) {`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:37 `    this.constructorConstructor = constructorConstructor;`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:38 `  }`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:47 `    return (TypeAdapter<T>) getTypeAdapter(constructorConstructor, gson, targetType, annotation);`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:53 `    Class<?> value = annotation.value();`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:55 `    if (TypeAdapter.class.isAssignableFrom(value)) {`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:58 `    } else if (TypeAdapterFactory.class.isAssignableFrom(value)) {`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:59 `      Class<TypeAdapterFactory> typeAdapterFactory = (Class<TypeAdapterFactory>) value;`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:60 `      typeAdapter = constructorConstructor.get(TypeToken.get(typeAdapterFactory))`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:63 `    } else {`
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:67 `      typeAdapter = typeAdapter.nullSafe();`
com.google.gson.internal.bind.MapTypeAdapterFactory:110 `      boolean complexMapKeySerialization) {`
com.google.gson.internal.bind.MapTypeAdapterFactory:111 `    this.constructorConstructor = constructorConstructor;`
com.google.gson.internal.bind.MapTypeAdapterFactory:112 `    this.complexMapKeySerialization = complexMapKeySerialization;`
com.google.gson.internal.bind.MapTypeAdapterFactory:113 `  }`
com.google.gson.internal.bind.MapTypeAdapterFactory:116 `    Type type = typeToken.getType();`
com.google.gson.internal.bind.MapTypeAdapterFactory:118 `    Class<? super T> rawType = typeToken.getRawType();`
com.google.gson.internal.bind.MapTypeAdapterFactory:119 `    if (!Map.class.isAssignableFrom(rawType)) {`
com.google.gson.internal.bind.MapTypeAdapterFactory:120 `      return null;`
com.google.gson.internal.bind.ObjectTypeAdapter:38 `  public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.ObjectTypeAdapter:41 `      if (type.getRawType() == Object.class) {`
com.google.gson.internal.bind.ObjectTypeAdapter:44 `      return null;`
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:54 `      FieldNamingStrategy fieldNamingPolicy, Excluder excluder) {`
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:55 `    this.constructorConstructor = constructorConstructor;`
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:56 `    this.fieldNamingPolicy = fieldNamingPolicy;`
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:57 `    this.excluder = excluder;`
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory:58 `  }`
com.google.gson.internal.bind.SqlDateTypeAdapter:39 `  public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.SqlDateTypeAdapter:42 `      return typeToken.getRawType() == java.sql.Date.class`
com.google.gson.internal.bind.TimeTypeAdapter:41 `  public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.TimeTypeAdapter:44 `      return typeToken.getRawType() == Time.class ? (TypeAdapter<T>) new TimeTypeAdapter() : null;`
com.google.gson.internal.bind.TypeAdapters:69 `  public static final TypeAdapter<Class> CLASS = new TypeAdapter<Class>() {`
com.google.gson.internal.bind.TypeAdapters:90 `  public static final TypeAdapterFactory CLASS_FACTORY = newFactory(Class.class, CLASS);`
com.google.gson.internal.bind.TypeAdapters:92 `  public static final TypeAdapter<BitSet> BIT_SET = new TypeAdapter<BitSet>() {`
com.google.gson.internal.bind.TypeAdapters:149 `  public static final TypeAdapterFactory BIT_SET_FACTORY = newFactory(BitSet.class, BIT_SET);`
com.google.gson.internal.bind.TypeAdapters:151 `  public static final TypeAdapter<Boolean> BOOLEAN = new TypeAdapter<Boolean>() {`
com.google.gson.internal.bind.TypeAdapters:177 `  public static final TypeAdapter<Boolean> BOOLEAN_AS_STRING = new TypeAdapter<Boolean>() {`
com.google.gson.internal.bind.TypeAdapters:191 `  public static final TypeAdapterFactory BOOLEAN_FACTORY`
com.google.gson.internal.bind.TypeAdapters:194 `  public static final TypeAdapter<Number> BYTE = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:214 `  public static final TypeAdapterFactory BYTE_FACTORY`
com.google.gson.internal.bind.TypeAdapters:217 `  public static final TypeAdapter<Number> SHORT = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:236 `  public static final TypeAdapterFactory SHORT_FACTORY`
com.google.gson.internal.bind.TypeAdapters:239 `  public static final TypeAdapter<Number> INTEGER = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:257 `  public static final TypeAdapterFactory INTEGER_FACTORY`
com.google.gson.internal.bind.TypeAdapters:260 `  public static final TypeAdapter<AtomicInteger> ATOMIC_INTEGER = new TypeAdapter<AtomicInteger>() {`
com.google.gson.internal.bind.TypeAdapters:272 `  public static final TypeAdapterFactory ATOMIC_INTEGER_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:275 `  public static final TypeAdapter<AtomicBoolean> ATOMIC_BOOLEAN = new TypeAdapter<AtomicBoolean>() {`
com.google.gson.internal.bind.TypeAdapters:283 `  public static final TypeAdapterFactory ATOMIC_BOOLEAN_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:286 `  public static final TypeAdapter<AtomicIntegerArray> ATOMIC_INTEGER_ARRAY = new TypeAdapter<AtomicIntegerArray>() {`
com.google.gson.internal.bind.TypeAdapters:314 `  public static final TypeAdapterFactory ATOMIC_INTEGER_ARRAY_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:317 `  public static final TypeAdapter<Number> LONG = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:336 `  public static final TypeAdapter<Number> FLOAT = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:351 `  public static final TypeAdapter<Number> DOUBLE = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:366 `  public static final TypeAdapter<Number> NUMBER = new TypeAdapter<Number>() {`
com.google.gson.internal.bind.TypeAdapters:386 `  public static final TypeAdapterFactory NUMBER_FACTORY = newFactory(Number.class, NUMBER);`
com.google.gson.internal.bind.TypeAdapters:388 `  public static final TypeAdapter<Character> CHARACTER = new TypeAdapter<Character>() {`
com.google.gson.internal.bind.TypeAdapters:407 `  public static final TypeAdapterFactory CHARACTER_FACTORY`
com.google.gson.internal.bind.TypeAdapters:410 `  public static final TypeAdapter<String> STRING = new TypeAdapter<String>() {`
com.google.gson.internal.bind.TypeAdapters:430 `  public static final TypeAdapter<BigDecimal> BIG_DECIMAL = new TypeAdapter<BigDecimal>() {`
com.google.gson.internal.bind.TypeAdapters:448 `  public static final TypeAdapter<BigInteger> BIG_INTEGER = new TypeAdapter<BigInteger>() {`
com.google.gson.internal.bind.TypeAdapters:466 `  public static final TypeAdapterFactory STRING_FACTORY = newFactory(String.class, STRING);`
com.google.gson.internal.bind.TypeAdapters:468 `  public static final TypeAdapter<StringBuilder> STRING_BUILDER = new TypeAdapter<StringBuilder>() {`
com.google.gson.internal.bind.TypeAdapters:483 `  public static final TypeAdapterFactory STRING_BUILDER_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:486 `  public static final TypeAdapter<StringBuffer> STRING_BUFFER = new TypeAdapter<StringBuffer>() {`
com.google.gson.internal.bind.TypeAdapters:501 `  public static final TypeAdapterFactory STRING_BUFFER_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:504 `  public static final TypeAdapter<URL> URL = new TypeAdapter<URL>() {`
com.google.gson.internal.bind.TypeAdapters:520 `  public static final TypeAdapterFactory URL_FACTORY = newFactory(URL.class, URL);`
com.google.gson.internal.bind.TypeAdapters:522 `  public static final TypeAdapter<URI> URI = new TypeAdapter<URI>() {`
com.google.gson.internal.bind.TypeAdapters:542 `  public static final TypeAdapterFactory URI_FACTORY = newFactory(URI.class, URI);`
com.google.gson.internal.bind.TypeAdapters:544 `  public static final TypeAdapter<InetAddress> INET_ADDRESS = new TypeAdapter<InetAddress>() {`
com.google.gson.internal.bind.TypeAdapters:560 `  public static final TypeAdapterFactory INET_ADDRESS_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:563 `  public static final TypeAdapter<UUID> UUID = new TypeAdapter<UUID>() {`
com.google.gson.internal.bind.TypeAdapters:578 `  public static final TypeAdapterFactory UUID_FACTORY = newFactory(UUID.class, UUID);`
com.google.gson.internal.bind.TypeAdapters:580 `  public static final TypeAdapter<Currency> CURRENCY = new TypeAdapter<Currency>() {`
com.google.gson.internal.bind.TypeAdapters:590 `  public static final TypeAdapterFactory CURRENCY_FACTORY = newFactory(Currency.class, CURRENCY);`
com.google.gson.internal.bind.TypeAdapters:592 `  public static final TypeAdapterFactory TIMESTAMP_FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:595 `      if (typeToken.getRawType() != Timestamp.class) {`
com.google.gson.internal.bind.TypeAdapters:596 `        return null;`
com.google.gson.internal.bind.TypeAdapters:613 `  public static final TypeAdapter<Calendar> CALENDAR = new TypeAdapter<Calendar>() {`
com.google.gson.internal.bind.TypeAdapters:678 `  public static final TypeAdapterFactory CALENDAR_FACTORY =`
com.google.gson.internal.bind.TypeAdapters:681 `  public static final TypeAdapter<Locale> LOCALE = new TypeAdapter<Locale>() {`
com.google.gson.internal.bind.TypeAdapters:716 `  public static final TypeAdapterFactory LOCALE_FACTORY = newFactory(Locale.class, LOCALE);`
com.google.gson.internal.bind.TypeAdapters:718 `  public static final TypeAdapter<JsonElement> JSON_ELEMENT = new TypeAdapter<JsonElement>() {`
com.google.gson.internal.bind.TypeAdapters:790 `  public static final TypeAdapterFactory JSON_ELEMENT_FACTORY`
com.google.gson.internal.bind.TypeAdapters:828 `  public static final TypeAdapterFactory ENUM_FACTORY = new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:854 `    return new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:857 `        return typeToken.getRawType() == type ? (TypeAdapter<T>) typeAdapter : null;`
com.google.gson.internal.bind.TypeAdapters:867 `    return new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:870 `        Class<? super T> rawType = typeToken.getRawType();`
com.google.gson.internal.bind.TypeAdapters:871 `        return (rawType == unboxed || rawType == boxed) ? (TypeAdapter<T>) typeAdapter : null;`
com.google.gson.internal.bind.TypeAdapters:882 `    return new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:885 `        Class<? super T> rawType = typeToken.getRawType();`
com.google.gson.internal.bind.TypeAdapters:886 `        return (rawType == base || rawType == sub) ? (TypeAdapter<T>) typeAdapter : null;`
com.google.gson.internal.bind.TypeAdapters:901 `    return new TypeAdapterFactory() {`
com.google.gson.internal.bind.TypeAdapters:904 `        final Class<? super T2> requestedType = typeToken.getRawType();`
com.google.gson.internal.bind.TypeAdapters:905 `        if (!clazz.isAssignableFrom(requestedType)) {`
com.google.gson.internal.bind.TypeAdapters:906 `          return null;`
com.google.gson.reflect.TypeToken:71 `  TypeToken(Type type) {`
com.google.gson.reflect.TypeToken:72 `    this.type = $Gson$Types.canonicalize($Gson$Preconditions.checkNotNull(type));`
com.google.gson.reflect.TypeToken:73 `    this.rawType = (Class<? super T>) $Gson$Types.getRawType(this.type);`
com.google.gson.reflect.TypeToken:74 `    this.hashCode = this.type.hashCode();`
com.google.gson.reflect.TypeToken:75 `  }`
com.google.gson.reflect.TypeToken:94 `    return rawType;`
com.google.gson.reflect.TypeToken:101 `    return type;`
com.google.gson.reflect.TypeToken:280 `    return this.hashCode;`
com.google.gson.reflect.TypeToken:296 `    return new TypeToken<Object>(type);`
com.google.gson.reflect.TypeToken:303 `    return new TypeToken<T>(type);`
com.google.gson.stream.JsonReader:192 `  private static final char[] NON_EXECUTE_PREFIX = ")]}'\n".toCharArray();`
com.google.gson.stream.JsonReader:230 `  private boolean lenient = false;`
com.google.gson.stream.JsonReader:238 `  private final char[] buffer = new char[1024];`
com.google.gson.stream.JsonReader:239 `  private int pos = 0;`
com.google.gson.stream.JsonReader:240 `  private int limit = 0;`
