Provide a short code description of the following code:
 org.jsoup.Jsoup:44 `        return Parser.parse(html, "");`
org.jsoup.nodes.Document:159 `    }`
org.jsoup.nodes.Document:163 `        if (node.nodeName().equals(tag))`
org.jsoup.nodes.Document:164 `            return (Element) node;`
org.jsoup.nodes.Document:166 `            for (Node child: node.childNodes) {`
org.jsoup.nodes.Document:167 `                Element found = findFirstElementByTagName(tag, child);`
org.jsoup.nodes.Document:168 `                if (found != null)`
org.jsoup.nodes.Document:169 `                    return found;`
org.jsoup.nodes.Document:170 `            }`
org.jsoup.nodes.Document:172 `        return null;`
org.jsoup.nodes.Document:193 `        return "#document";`
org.jsoup.nodes.Document:200 `        private Entities.EscapeMode escapeMode = Entities.EscapeMode.base;`
org.jsoup.nodes.Document:201 `        private Charset charset = Charset.forName("UTF-8");`
org.jsoup.nodes.Document:202 `        private CharsetEncoder charsetEncoder = charset.newEncoder();`
org.jsoup.nodes.Document:203 `        private boolean prettyPrint = true;`
org.jsoup.nodes.Document:204 `        private int indentAmount = 1;`
org.jsoup.nodes.Document:206 `        public OutputSettings() {}`
org.jsoup.nodes.Document:217 `            return escapeMode;`
org.jsoup.nodes.Document:265 `            return charsetEncoder;`
org.jsoup.nodes.Document:274 `            return prettyPrint;`
org.jsoup.nodes.Document:292 `            return indentAmount;`
org.jsoup.nodes.Document:312 `        return outputSettings;`
org.jsoup.nodes.Element:37 `        super(baseUri, attributes);`
org.jsoup.nodes.Element:39 `        Validate.notNull(tag);    `
org.jsoup.nodes.Element:40 `        this.tag = tag;`
org.jsoup.nodes.Element:41 `    }`
org.jsoup.nodes.Element:52 `        this(tag, baseUri, new Attributes());`
org.jsoup.nodes.Element:53 `    }`
org.jsoup.nodes.Element:57 `        return tag.getName();`
org.jsoup.nodes.Element:66 `        return tag.getName();`
org.jsoup.nodes.Element:75 `        return tag;`
org.jsoup.nodes.Element:85 `        return tag.isBlock();`
org.jsoup.nodes.Element:128 `        return (Element) parentNode;`
org.jsoup.nodes.Element:199 `        return Selector.select(query, this);`
org.jsoup.nodes.Element:209 `        Validate.notNull(child);`
org.jsoup.nodes.Element:211 `        addChildren(child);`
org.jsoup.nodes.Element:212 `        return this;`
org.jsoup.nodes.Element:472 `        Validate.notEmpty(tagName);`
org.jsoup.nodes.Element:473 `        tagName = tagName.toLowerCase().trim();`
org.jsoup.nodes.Element:475 `        return Collector.collect(new Evaluator.Tag(tagName), this);`
org.jsoup.nodes.Element:970 `        if (out.prettyPrint() && (isBlock() || (parent() != null && parent().tag().canContainBlock() && siblingIndex() == 0)))`
org.jsoup.nodes.Element:971 `            indent(accum, depth, out);`
org.jsoup.nodes.Element:972 `        accum`
org.jsoup.nodes.Element:975 `        attributes.html(accum, out);`
org.jsoup.nodes.Element:977 `        if (childNodes.isEmpty() && tag.isSelfClosing())`
org.jsoup.nodes.Element:978 `            accum.append(" />");`
org.jsoup.nodes.Element:981 `    }`
org.jsoup.nodes.Element:984 `        if (!(childNodes.isEmpty() && tag.isSelfClosing())) {`
org.jsoup.nodes.Element:989 `    }`
org.jsoup.nodes.Element:1022 `        return outerHtml();`
org.jsoup.nodes.Element:1027 `        if (this == o) return true;`
org.jsoup.nodes.Element:1040 `        int result = super.hashCode();`
org.jsoup.nodes.Element:1041 `        result = 31 * result + (tag != null ? tag.hashCode() : 0);`
org.jsoup.nodes.Element:1042 `        return result;`
org.jsoup.nodes.Entities:15 `    public enum EscapeMode {`
org.jsoup.nodes.Entities:17 `        xhtml(xhtmlByVal),`
org.jsoup.nodes.Entities:19 `        base(baseByVal),`
org.jsoup.nodes.Entities:21 `        extended(fullByVal);`
org.jsoup.nodes.Entities:25 `        EscapeMode(Map<Character, String> map) {`
org.jsoup.nodes.Entities:26 `            this.map = map;`
org.jsoup.nodes.Entities:27 `        }`
org.jsoup.nodes.Entities:30 `            return map;`
org.jsoup.nodes.Entities:38 `    private static final Pattern unescapePattern = Pattern.compile("&(#(x|X)?([0-9a-fA-F]+)|[a-zA-Z]+);?");`
org.jsoup.nodes.Entities:41 `        return escape(string, out.encoder(), out.escapeMode());`
org.jsoup.nodes.Entities:45 `        StringBuilder accum = new StringBuilder(string.length() * 2);`
org.jsoup.nodes.Entities:46 `        Map<Character, String> map = escapeMode.getMap();`
org.jsoup.nodes.Entities:48 `        for (int pos = 0; pos < string.length(); pos++) {`
org.jsoup.nodes.Entities:49 `            Character c = string.charAt(pos);`
org.jsoup.nodes.Entities:50 `            if (map.containsKey(c))`
org.jsoup.nodes.Entities:52 `            else if (encoder.canEncode(c))`
org.jsoup.nodes.Entities:53 `                accum.append(c.charValue());`
org.jsoup.nodes.Entities:58 `        return accum.toString();`
org.jsoup.nodes.Entities:62 `        if (!string.contains("&"))`
org.jsoup.nodes.Entities:63 `            return string;`
org.jsoup.nodes.Entities:96 `    private static final Object[][] xhtmlArray = {`
org.jsoup.nodes.Entities:106 `    private static final Object[][] baseArray = {`
org.jsoup.nodes.Entities:217 `    private static final Object[][] fullArray = {`
org.jsoup.nodes.Entities:2253 `        full = new HashMap<String, Character>(fullArray.length);`
org.jsoup.nodes.Entities:2254 `        xhtmlByVal = new HashMap<Character, String>(xhtmlArray.length);`
org.jsoup.nodes.Entities:2255 `        baseByVal = new HashMap<Character, String>(baseArray.length);`
org.jsoup.nodes.Entities:2256 `        fullByVal = new HashMap<Character, String>(fullArray.length);`
org.jsoup.nodes.Entities:2258 `        for (Object[] entity : xhtmlArray) {`
org.jsoup.nodes.Entities:2259 `            Character c = Character.valueOf((char) ((Integer) entity[1]).intValue());`
org.jsoup.nodes.Entities:2260 `            xhtmlByVal.put(c, ((String) entity[0]));`
org.jsoup.nodes.Entities:2262 `        for (Object[] entity : baseArray) {`
org.jsoup.nodes.Entities:2263 `            Character c = Character.valueOf((char) ((Integer) entity[1]).intValue());`
org.jsoup.nodes.Entities:2264 `            baseByVal.put(c, ((String) entity[0]));`
org.jsoup.nodes.Entities:2266 `        for (Object[] entity : fullArray) {`
org.jsoup.nodes.Entities:2267 `            Character c = Character.valueOf((char) ((Integer) entity[1]).intValue());`
org.jsoup.nodes.Entities:2268 `            full.put((String) entity[0], c);`
org.jsoup.nodes.Entities:2269 `            fullByVal.put(c, ((String) entity[0]));`
org.jsoup.nodes.Entities:2271 `    }`
org.jsoup.nodes.Evaluator:25 `        Tag (String tagName) {`
org.jsoup.nodes.Evaluator:26 `            this.tagName = tagName;`
org.jsoup.nodes.Evaluator:27 `        }`
org.jsoup.nodes.Evaluator:30 `            return (element.tagName().equals(tagName));`
org.jsoup.nodes.Node:30 `    protected Node(String baseUri, Attributes attributes) {`
org.jsoup.nodes.Node:31 `        Validate.notNull(baseUri);`
org.jsoup.nodes.Node:32 `        Validate.notNull(attributes);`
org.jsoup.nodes.Node:34 `        childNodes = new ArrayList<Node>(4);`
org.jsoup.nodes.Node:35 `        this.baseUri = baseUri.trim();`
org.jsoup.nodes.Node:36 `        this.attributes = attributes;`
org.jsoup.nodes.Node:37 `    }`
org.jsoup.nodes.Node:186 `        return childNodes.get(index);`
org.jsoup.nodes.Node:195 `        return Collections.unmodifiableList(childNodes);`
org.jsoup.nodes.Node:215 `        if (this instanceof Document)`
org.jsoup.nodes.Node:216 `            return (Document) this;`
org.jsoup.nodes.Node:217 `        else if (parentNode == null)`
org.jsoup.nodes.Node:218 `            return null;`
org.jsoup.nodes.Node:220 `            return parentNode.ownerDocument();`
org.jsoup.nodes.Node:227 `        Validate.notNull(parentNode);`
org.jsoup.nodes.Node:228 `        parentNode.removeChild(this);`
org.jsoup.nodes.Node:229 `    }`
org.jsoup.nodes.Node:242 `        if (this.parentNode != null)`
org.jsoup.nodes.Node:244 `        this.parentNode = parentNode;`
org.jsoup.nodes.Node:245 `    }`
org.jsoup.nodes.Node:261 `        Validate.isTrue(out.parentNode == this);`
org.jsoup.nodes.Node:262 `        int index = out.siblingIndex();`
org.jsoup.nodes.Node:263 `        childNodes.remove(index);`
org.jsoup.nodes.Node:264 `        reindexChildren();`
org.jsoup.nodes.Node:265 `        out.parentNode = null;`
org.jsoup.nodes.Node:266 `    }`
org.jsoup.nodes.Node:270 `        for (Node child: children) {`
org.jsoup.nodes.Node:271 `            reparentChild(child);`
org.jsoup.nodes.Node:272 `            childNodes.add(child);`
org.jsoup.nodes.Node:273 `            child.setSiblingIndex(childNodes.size()-1);`
org.jsoup.nodes.Node:275 `    }`
org.jsoup.nodes.Node:288 `        if (child.parentNode != null)`
org.jsoup.nodes.Node:290 `        child.setParentNode(this);`
org.jsoup.nodes.Node:291 `    }`
org.jsoup.nodes.Node:294 `        for (int i = 0; i < childNodes.size(); i++) {`
org.jsoup.nodes.Node:297 `    }`
org.jsoup.nodes.Node:312 `        if (parentNode == null)`
org.jsoup.nodes.Node:313 `            return null; // root`
org.jsoup.nodes.Node:315 `        List<Node> siblings = parentNode.childNodes;`
org.jsoup.nodes.Node:316 `        Integer index = siblingIndex();`
org.jsoup.nodes.Node:317 `        Validate.notNull(index);`
org.jsoup.nodes.Node:318 `        if (siblings.size() > index+1)`
org.jsoup.nodes.Node:319 `            return siblings.get(index+1);`
org.jsoup.nodes.Node:321 `            return null;`
org.jsoup.nodes.Node:345 `        return siblingIndex;`
org.jsoup.nodes.Node:349 `        this.siblingIndex = siblingIndex;`
org.jsoup.nodes.Node:350 `    }`
org.jsoup.nodes.Node:357 `        StringBuilder accum = new StringBuilder(32*1024);`
org.jsoup.nodes.Node:358 `        outerHtml(accum);`
org.jsoup.nodes.Node:359 `        return accum.toString();`
org.jsoup.nodes.Node:363 `        new NodeTraversor(new OuterHtmlVisitor(accum, ownerDocument().outputSettings())).traverse(this);`
org.jsoup.nodes.Node:364 `    }`
org.jsoup.nodes.Node:381 `        accum.append("\n").append(StringUtil.padding(depth * out.indentAmount()));`
org.jsoup.nodes.Node:382 `    }`
org.jsoup.nodes.Node:393 `        int result = parentNode != null ? parentNode.hashCode() : 0;`
org.jsoup.nodes.Node:395 `        result = 31 * result + (attributes != null ? attributes.hashCode() : 0);`
org.jsoup.nodes.Node:396 `        return result;`
org.jsoup.nodes.Node:403 `        OuterHtmlVisitor(StringBuilder accum, Document.OutputSettings out) {`
org.jsoup.nodes.Node:404 `            this.accum = accum;`
org.jsoup.nodes.Node:405 `            this.out = out;`
org.jsoup.nodes.Node:406 `        }`
org.jsoup.nodes.Node:409 `            node.outerHtmlHead(accum, depth, out);`
org.jsoup.nodes.Node:410 `        }`
org.jsoup.nodes.Node:413 `            if (!node.nodeName().equals("#text")) // saves a void hit.`
org.jsoup.nodes.Node:414 `                node.outerHtmlTail(accum, depth, out);`
org.jsoup.nodes.Node:415 `        }`
org.jsoup.parser.Parser:17 `    private static final Tag htmlTag = Tag.valueOf("html");`
org.jsoup.parser.Parser:18 `    private static final Tag headTag = Tag.valueOf("head");`
org.jsoup.parser.Parser:19 `    private static final Tag bodyTag = Tag.valueOf("body");`
org.jsoup.parser.Parser:20 `    private static final Tag titleTag = Tag.valueOf("title");`
org.jsoup.parser.Parser:21 `    private static final Tag textareaTag = Tag.valueOf("textarea");`
org.jsoup.parser.Parser:27 `    private boolean relaxed = false;`
org.jsoup.parser.Parser:29 `    private Parser(String html, String baseUri, boolean isBodyFragment) {`
org.jsoup.parser.Parser:30 `        Validate.notNull(html);`
org.jsoup.parser.Parser:31 `        Validate.notNull(baseUri);`
org.jsoup.parser.Parser:33 `        stack = new LinkedList<Element>();`
org.jsoup.parser.Parser:34 `        tq = new TokenQueue(html);`
org.jsoup.parser.Parser:35 `        this.baseUri = baseUri;`
org.jsoup.parser.Parser:37 `        if (isBodyFragment) {`
org.jsoup.parser.Parser:41 `            doc = new Document(baseUri);`
org.jsoup.parser.Parser:42 `            stack.add(doc);`
org.jsoup.parser.Parser:44 `    }`
org.jsoup.parser.Parser:53 `        Parser parser = new Parser(html, baseUri, false);`
org.jsoup.parser.Parser:54 `        return parser.parse();`
org.jsoup.parser.Parser:82 `        while (!tq.isEmpty()) {`
org.jsoup.parser.Parser:83 `            if (tq.matchesStartTag()) {`
org.jsoup.parser.Parser:84 `                parseStartTag();`
org.jsoup.parser.Parser:97 `        return doc.normalise();`
org.jsoup.parser.Parser:133 `        tq.consume("<");`
org.jsoup.parser.Parser:134 `        String tagName = tq.consumeTagName();`
org.jsoup.parser.Parser:135 `        Validate.notEmpty(tagName, "Unexpectedly empty tagname. (This should not occur, please report!)");`
org.jsoup.parser.Parser:137 `        tq.consumeWhitespace();`
org.jsoup.parser.Parser:138 `        Attributes attributes = new Attributes();`
org.jsoup.parser.Parser:139 `        while (!tq.matchesAny("<", "/>", ">") && !tq.isEmpty()) {`
org.jsoup.parser.Parser:140 `            Attribute attribute = parseAttribute();`
org.jsoup.parser.Parser:141 `            if (attribute != null)`
org.jsoup.parser.Parser:142 `                attributes.put(attribute);`
org.jsoup.parser.Parser:143 `        }`
org.jsoup.parser.Parser:145 `        Tag tag = Tag.valueOf(tagName);`
org.jsoup.parser.Parser:146 `        Element child = new Element(tag, baseUri, attributes);`
org.jsoup.parser.Parser:148 `        boolean isEmptyElement = tag.isEmpty(); // empty element if empty tag (e.g. img) or self-closed el (<div/>`
org.jsoup.parser.Parser:149 `        if (tq.matchChomp("/>")) { // close empty element or tag`
org.jsoup.parser.Parser:154 `            tq.matchChomp(">");`
org.jsoup.parser.Parser:156 `        addChildToParent(child, isEmptyElement);`
org.jsoup.parser.Parser:159 `        if (tag.isData()) {`
org.jsoup.parser.Parser:173 `        if (child.tagName().equals("base")) {`
org.jsoup.parser.Parser:180 `    }`
org.jsoup.parser.Parser:183 `        tq.consumeWhitespace();`
org.jsoup.parser.Parser:184 `        String key = tq.consumeAttributeKey();`
org.jsoup.parser.Parser:185 `        String value = "";`
org.jsoup.parser.Parser:186 `        tq.consumeWhitespace();`
org.jsoup.parser.Parser:187 `        if (tq.matchChomp("=")) {`
org.jsoup.parser.Parser:188 `            tq.consumeWhitespace();`
org.jsoup.parser.Parser:190 `            if (tq.matchChomp(SQ)) {`
org.jsoup.parser.Parser:191 `                value = tq.chompTo(SQ);`
org.jsoup.parser.Parser:202 `            tq.consumeWhitespace();`
org.jsoup.parser.Parser:204 `        if (key.length() != 0)`
org.jsoup.parser.Parser:205 `            return Attribute.createFromEncoded(key, value);`
org.jsoup.parser.Parser:235 `        Element parent = popStackToSuitableContainer(child.tag());`
org.jsoup.parser.Parser:236 `        Tag childTag = child.tag();`
org.jsoup.parser.Parser:237 `        boolean validAncestor = stackHasValidParent(childTag);`
org.jsoup.parser.Parser:239 `        if (!validAncestor && !relaxed) {`
org.jsoup.parser.Parser:241 `            Tag parentTag = childTag.getImplicitParent();`
org.jsoup.parser.Parser:242 `            Element implicit = new Element(parentTag, baseUri);`
org.jsoup.parser.Parser:244 `            if (child.tag().equals(bodyTag)) {`
org.jsoup.parser.Parser:245 `                Element head = new Element(headTag, baseUri);`
org.jsoup.parser.Parser:246 `                implicit.appendChild(head);`
org.jsoup.parser.Parser:248 `            implicit.appendChild(child);`
org.jsoup.parser.Parser:251 `            Element root = addChildToParent(implicit, false);`
org.jsoup.parser.Parser:252 `            if (!isEmptyElement)`
org.jsoup.parser.Parser:253 `                stack.addLast(child);`
org.jsoup.parser.Parser:254 `            return root;`
org.jsoup.parser.Parser:257 `        parent.appendChild(child);`
org.jsoup.parser.Parser:259 `        if (!isEmptyElement)`
org.jsoup.parser.Parser:260 `            stack.addLast(child);`
org.jsoup.parser.Parser:261 `        return parent;`
org.jsoup.parser.Parser:265 `        if (stack.size() == 1 && childTag.equals(htmlTag))`
org.jsoup.parser.Parser:266 `            return true; // root is valid for html node`
org.jsoup.parser.Parser:268 `        if (childTag.requiresSpecificParent())`
org.jsoup.parser.Parser:272 `        for (int i = stack.size() -1; i >= 0; i--) {`
org.jsoup.parser.Parser:273 `            Element el = stack.get(i);`
org.jsoup.parser.Parser:274 `            Tag parent2 = el.tag();`
org.jsoup.parser.Parser:275 `            if (parent2.isValidAncestor(childTag)) {`
org.jsoup.parser.Parser:279 `        return false;`
org.jsoup.parser.Parser:283 `        while (!stack.isEmpty()) {`
org.jsoup.parser.Parser:284 `            if (last().tag().canContain(tag))`
org.jsoup.parser.Parser:285 `                return last();`
org.jsoup.parser.Parser:316 `        return stack.getLast();`
org.jsoup.parser.Tag:13 `    private static final Map<String, Tag> tags = new HashMap<String, Tag>();`
org.jsoup.parser.Tag:16 `        defaultAncestor = new Tag("BODY");`
org.jsoup.parser.Tag:17 `        tags.put(defaultAncestor.tagName, defaultAncestor);`
org.jsoup.parser.Tag:21 `    private boolean knownTag = false; // if pre-defined or auto-created`
org.jsoup.parser.Tag:22 `    private boolean isBlock = true; // block or inline`
org.jsoup.parser.Tag:23 `    private boolean canContainBlock = true; // Can this tag hold block level tags?`
org.jsoup.parser.Tag:24 `    private boolean canContainInline = true; // only pcdata if not`
org.jsoup.parser.Tag:25 `    private boolean optionalClosing = false; // If tag is open, and another seen, close previous tag`
org.jsoup.parser.Tag:26 `    private boolean empty = false; // can hold nothing; e.g. img`
org.jsoup.parser.Tag:27 `    private boolean selfClosing = false; // can self close (<foo />). used for unknown tags that self close, without forcing them as empty.`
org.jsoup.parser.Tag:28 `    private boolean preserveWhitespace = false; // for pre, textarea, script etc`
org.jsoup.parser.Tag:30 `    private List<Tag> excludes = Collections.emptyList(); // cannot contain these tags`
org.jsoup.parser.Tag:31 `    private List<Tag> ignoreEndTags = Collections.emptyList(); // ignore these end tags`
org.jsoup.parser.Tag:35 `    private Tag(String tagName) {`
org.jsoup.parser.Tag:36 `        this.tagName = tagName.toLowerCase();`
org.jsoup.parser.Tag:37 `    }`
org.jsoup.parser.Tag:40 `        return tagName;`
org.jsoup.parser.Tag:51 `        Validate.notNull(tagName);`
org.jsoup.parser.Tag:52 `        tagName = tagName.trim().toLowerCase();`
org.jsoup.parser.Tag:53 `        Validate.notEmpty(tagName);`
org.jsoup.parser.Tag:55 `        synchronized (tags) {`
org.jsoup.parser.Tag:56 `            Tag tag = tags.get(tagName);`
org.jsoup.parser.Tag:57 `            if (tag == null) {`
org.jsoup.parser.Tag:59 `                tag = new Tag(tagName);`
org.jsoup.parser.Tag:60 `                tag.setAncestor(defaultAncestor.tagName);`
org.jsoup.parser.Tag:61 `                tag.setExcludes();`
org.jsoup.parser.Tag:62 `                tag.isBlock = false;`
org.jsoup.parser.Tag:63 `                tag.canContainBlock = true;`
org.jsoup.parser.Tag:65 `            return tag;`
org.jsoup.parser.Tag:75 `        Validate.notNull(child);`
org.jsoup.parser.Tag:77 `        if (child.isBlock && !this.canContainBlock)`
org.jsoup.parser.Tag:80 `        if (!child.isBlock && !this.canContainInline) // not block == inline`
org.jsoup.parser.Tag:83 `        if (this.optionalClosing && this.equals(child))`
org.jsoup.parser.Tag:86 `        if (this.empty || this.isData())`
org.jsoup.parser.Tag:90 `        if (this.requiresSpecificParent() && this.getImplicitParent().equals(child))`
org.jsoup.parser.Tag:94 `        if (limitChildren) {`
org.jsoup.parser.Tag:103 `        if (!excludes.isEmpty()) {`
org.jsoup.parser.Tag:110 `        return true;`
org.jsoup.parser.Tag:118 `        return isBlock;`
org.jsoup.parser.Tag:126 `        return canContainBlock;`
org.jsoup.parser.Tag:142 `        return !canContainInline && !isEmpty();`
org.jsoup.parser.Tag:150 `        return empty;`
org.jsoup.parser.Tag:158 `        return empty || selfClosing;`
org.jsoup.parser.Tag:178 `        return (!ancestors.isEmpty()) ? ancestors.get(0) : null;`
org.jsoup.parser.Tag:182 `        return directDescendant;`
org.jsoup.parser.Tag:190 `        if (child.ancestors.isEmpty())`
org.jsoup.parser.Tag:193 `        for (int i = 0; i < child.ancestors.size(); i++)`
org.jsoup.parser.Tag:194 `            if (this.equals(child.ancestors.get(i)))`
org.jsoup.parser.Tag:197 `        return false;`
org.jsoup.parser.Tag:210 `        if (this == o) return true;`
org.jsoup.parser.Tag:211 `        if (o == null || getClass() != o.getClass()) return false;`
org.jsoup.parser.Tag:213 `        Tag tag = (Tag) o;`
org.jsoup.parser.Tag:215 `        if (tagName != null ? !tagName.equals(tag.tagName) : tag.tagName != null) return false;`
org.jsoup.parser.Tag:222 `        int result = tagName != null ? tagName.hashCode() : 0;`
org.jsoup.parser.Tag:223 `        result = 31 * result + (isBlock ? 1 : 0);`
org.jsoup.parser.Tag:224 `        result = 31 * result + (canContainBlock ? 1 : 0);`
org.jsoup.parser.Tag:225 `        result = 31 * result + (canContainInline ? 1 : 0);`
org.jsoup.parser.Tag:226 `        result = 31 * result + (optionalClosing ? 1 : 0);`
org.jsoup.parser.Tag:227 `        result = 31 * result + (empty ? 1 : 0);`
org.jsoup.parser.Tag:228 `        return result;`
org.jsoup.parser.Tag:243 `        createBlock("HTML").setAncestor(new String[0]); // specific includes not impl`
org.jsoup.parser.Tag:244 `        createBlock("HEAD").setParent("HTML").setLimitChildren();`
org.jsoup.parser.Tag:245 `        createBlock("BODY").setAncestor("HTML"); // specific includes not impl`
org.jsoup.parser.Tag:246 `        createBlock("FRAMESET").setAncestor("HTML");`
org.jsoup.parser.Tag:250 `        createBlock("SCRIPT").setAncestor("HEAD", "BODY").setContainDataOnly();`
org.jsoup.parser.Tag:251 `        createBlock("NOSCRIPT").setAncestor("HEAD", "BODY");`
org.jsoup.parser.Tag:252 `        createBlock("STYLE").setAncestor("HEAD", "BODY").setContainDataOnly();`
org.jsoup.parser.Tag:253 `        createBlock("META").setAncestor("HEAD", "BODY").setEmpty();`
org.jsoup.parser.Tag:254 `        createBlock("LINK").setAncestor("HEAD", "BODY").setEmpty(); // only within head`
org.jsoup.parser.Tag:255 `        createInline("OBJECT").setAncestor("HEAD", "BODY"); // flow (block/inline) or param`
org.jsoup.parser.Tag:256 `        createBlock("TITLE").setAncestor("HEAD", "BODY").setContainDataOnly();`
org.jsoup.parser.Tag:257 `        createInline("BASE").setAncestor("HEAD", "BODY").setEmpty();`
org.jsoup.parser.Tag:259 `        createBlock("FRAME").setParent("FRAMESET").setEmpty();`
org.jsoup.parser.Tag:260 `        createBlock("NOFRAMES").setParent("FRAMESET").setContainDataOnly();`
org.jsoup.parser.Tag:263 `        createBlock("SECTION");`
org.jsoup.parser.Tag:264 `        createBlock("NAV");`
org.jsoup.parser.Tag:265 `        createBlock("ASIDE");`
org.jsoup.parser.Tag:266 `        createBlock("HGROUP").setLimitChildren(); // limited to h1 - h6`
org.jsoup.parser.Tag:267 `        createBlock("HEADER").setExcludes("HEADER", "FOOTER");`
org.jsoup.parser.Tag:268 `        createBlock("FOOTER").setExcludes("HEADER", "FOOTER");`
org.jsoup.parser.Tag:271 `        createInline("FONT");`
org.jsoup.parser.Tag:272 `        createInline("TT");`
org.jsoup.parser.Tag:273 `        createInline("I");`
org.jsoup.parser.Tag:274 `        createInline("B");`
org.jsoup.parser.Tag:275 `        createInline("BIG");`
org.jsoup.parser.Tag:276 `        createInline("SMALL");`
org.jsoup.parser.Tag:279 `        createInline("EM");`
org.jsoup.parser.Tag:280 `        createInline("STRONG");`
org.jsoup.parser.Tag:281 `        createInline("DFN").setOptionalClosing();`
org.jsoup.parser.Tag:282 `        createInline("CODE");`
org.jsoup.parser.Tag:283 `        createInline("SAMP");`
org.jsoup.parser.Tag:284 `        createInline("KBD");`
org.jsoup.parser.Tag:285 `        createInline("VAR");`
org.jsoup.parser.Tag:286 `        createInline("CITE");`
org.jsoup.parser.Tag:287 `        createInline("ABBR");`
